"entering_grade_level","district","birth_month","olsat_verbal_score","olsat_verbal_percentile","nnat_non_verbal_raw_score","nnat_non_verbal_percentile","overall_score","school_assigned","date","first_choice","remaining_choices","testprep","enrollment"
"first",13,"August",30,99,46,99,99,NA,2017-03-27,"Anderson","none","No","Yes"
"first",1,"March",26,99,47,99,99,NA,2018-03-27,"1111","none",NA,""
"first",2,"February",26,99,47,99,99,NA,2018-03-27,"none","none",NA,""
"first",2,"January",25,99,45,99,99,NA,2018-03-27,"NEST+M","none","Yes","Yes"
"first",3,"January",28,98,45,0,99,"TAG",2018-03-27,"NEST","Anderson,TAG,Q300,BSI","Yes",""
"first",2,"May",25,99,NA,99,99,NA,2018-03-27,"NEST+M","none",NA,""
"first",2,"January",27,99,43,99,99,NA,2018-03-27,"none","none",NA,""
"first",2,"July",25,99,42,99,99,NA,2018-03-27,"Anderson","TAG, Nest",NA,""
"first",2,"November",25,99,40,99,99,"TAG",2018-03-27,"NEST","TAG, LL, PS11, PS130, PS33","Yes","Yes"
"first",2,"August",23,98,39,99,99,NA,2018-03-27,"Lower Lab ","Anderson","Yes","Yes"
"first",2,"April",25,99,38,99,99,NA,2018-03-27,"NEST+M","none","Yes",""
"first",2,"April",29,99,37,99,99,NA,2018-03-27,"none","none","Yes",""
"second",3,"June",29,99,NA,99,99,NA,2018-03-27,"Anderson","Q300, NEST, Mamie Fay",NA,""
"second",2,"August",27,98,42,99,99,NA,2018-03-27,"Anderson","NEST","No",""
"second",13,"September",23,98,42,99,99,NA,2018-03-27,"Brooklyn PS9","none","Yes","Yes"
"second",13,"May",25,99,42,99,99,NA,2018-03-27,"NEST+M","none","Yes",""
"second",21,"October ",26,99,36,99,99,"PS 215",2018-03-27,"BSI","PS 215","Yes","Yes"
"kindergarten",30,"October ",24,99,40,99,99,"NEST",2018-02-14,"NEST","Q300,PS122,Ps85",NA,"Yes"
"kindergarten",3,"September",24,99,42,99,99,"NEST+M",2018-03-27,"Anderson","NEST+M, 166, TAG, 163","Yes","Yes"
"kindergarten",21,"August",27,98,45,99,99,NA,2018-03-27,"none","none",NA,""
"kindergarten",22,"December",27,99,41,99,99,NA,2018-03-27,"none","none",NA,""
"kindergarten",25,"July",28,99,43,99,99,NA,2018-03-27,"NEST","none",NA,""
"kindergarten",25,"March",NA,NA,NA,0,99,NA,2018-03-27,"Tag","none",NA,""
"kindergarten",26,"November",25,99,40,99,99,NA,2018-03-27,"NEST+M","none","No",""
"kindergarten",27,"October ",26,99,43,99,99,NA,2018-03-27,"Anderson","PS188",NA,""
